csad,cssd,r_m,r_m_abs,r_m_sqr,stringencyindex_weightedaverage,c6e_stayathomerequirements,D25Upper,D10Upper,D5Upper,populationvaccinated,rolling_deaths,cases
1.569024,.1300084,1.059754,1.059754,1.174981,.7824,3,1,0,0,0,1.428571,85
1.681481,.144391,-.2181012,.2181012,.0375932,.7824,3,1,0,0,0,1,93
1.863313,.1632683,-.2634562,.2634562,.0572381,.7824,3,1,0,0,0,1.428571,96
1.462939,.1179668,.900378,.900378,.8548655,.7824,3,1,0,0,0,1.571429,79
1.551819,.1184611,1.753137,1.753137,3.158966,.7824,3,1,0,0,0,2,81
2.35241,.1853339,.9736929,.9736929,.995813,.7824,3,1,0,0,0,1.857143,78
2.463381,.1873894,1.044138,1.044138,1.14137,.7824,3,1,0,0,0,1.714286,89
1.914721,.1481073,.2366499,.2366499,.0680486,.7824,3,1,0,0,0,1.428571,66
2.501676,.1921527,.6674306,.6674306,.4783687,.7824,3,1,0,0,0,1,90
2.034399,.1603219,.5524422,.5524422,.3325294,.7824,3,1,0,0,0,.8571429,89
2.233393,.1737646,-1.514236,1.514236,2.220174,.7824,3,1,0,0,0,1.142857,134
1.998834,.1546739,1.994222,1.994222,4.074072,.7824,3,1,0,0,0,.8571429,102
2.333269,.176931,-.1048387,.1048387,.0065008,.7824,3,1,0,0,0,1,179
2.238265,.1792918,-1.039856,1.039856,1.031533,.7824,3,1,0,0,0,1.142857,184
1.780374,.1476417,-.2570812,.2570812,.0542284,.7824,3,1,0,0,0,1.142857,173
1.733621,.1423919,1.032877,1.032877,1.117435,.7824,3,1,0,0,0,.7142857,169
2.010974,.152925,-.7516287,.7516287,.5291359,.7824,3,1,0,0,0,.7142857,232
1.707248,.1376798,.3375369,.3375369,.1308618,.7824,3,1,0,0,0,.8571429,165
1.813286,.1450023,1.082393,1.082393,1.224573,.7824,3,1,0,0,0,.7142857,223
2.280911,.1794315,-.6351179,.6351179,.3732068,.7824,3,1,0,0,0,.8571429,175
2.206108,.1740006,-.1159333,.1159333,.0084129,.7824,3,1,0,0,0,1,205
2.412131,.185516,-1.313945,1.313945,1.663414,.7824,3,1,0,0,0,1.285714,155
1.652771,.1410748,.282939,.282939,.0943414,.7824,3,1,0,0,0,1.285714,140
2.02626,.1560934,-2.121917,2.121917,4.400367,.7824,3,1,0,0,0,1.428571,117
1.935274,.1486534,-.8079022,.8079022,.6141713,.7824,3,1,0,0,0,1.571429,93
2.378932,.2022709,.8716946,.8716946,.8026475,.7824,3,1,0,0,0,2,97
2.229908,.1769239,.9067401,.9067401,.8666707,.7824,3,1,0,0,0,1.714286,65
1.900438,.157029,-.7654488,.7654488,.5494329,.7824,3,1,0,0,0,1.714286,53
2.017364,.1584305,-1.182571,1.182571,1.341796,.7824,3,1,0,0,0,1.571429,51
2.460483,.1908207,-.4568955,.4568955,.1872156,.7824,3,1,0,0,0,1.571429,44
2.183197,.1738354,1.304511,1.304511,1.765502,.7824,3,1,0,0,0,.8571429,44
1.907216,.1464769,2.074161,2.074161,4.403165,.7824,3,1,0,0,0,.7142857,47
1.889509,.150003,1.187005,1.187005,1.467046,.7824,3,1,0,0,0,.7142857,45
2.468272,.2006058,1.259772,1.259772,1.648613,.7824,3,1,0,0,0,1.142857,28
2.202157,.1746126,1.143623,1.143623,1.363838,.7824,3,1,0,0,0,.8571429,20
2.92287,.2323536,-.9558419,.9558419,.8679354,.6157,1,0,0,0,0,.5714286,31
1.846372,.1542682,-.4116151,.4116151,.1500817,.6157,1,0,0,0,0,.5714286,26
2.268843,.1746534,-1.543166,1.543166,2.307223,.6157,1,0,0,0,0,.2857143,24
1.996153,.1547341,.5190617,.5190617,.2951457,.6157,1,0,0,0,0,.1428571,28
1.851374,.1479788,-2.016786,2.016786,3.970355,.6157,1,0,0,0,0,.1428571,24
1.875627,.1457296,1.474012,1.474012,2.244673,.5602,1,0,0,0,0,.2857143,42
1.671376,.1421012,-1.034766,1.034766,1.02122,.5602,1,0,0,0,0,.4285714,25
1.588761,.1349068,1.59908,1.59908,2.635075,.5602,1,0,0,0,0,.4285714,23
2.160029,.1661212,-2.025503,2.025503,4.00517,.5602,1,0,0,0,0,.2857143,27
1.918722,.1541047,-.0496855,.0496855,.0006489,.5602,1,0,0,0,0,.4285714,20
2.448035,.1891485,-2.204513,2.204513,4.753715,.5602,1,0,0,0,0,.5714286,37
2.200222,.1677653,-1.894695,1.894695,3.49871,.5602,1,0,0,0,0,.4285714,24
1.837332,.145974,-.4452936,.4452936,.1773102,.5602,1,0,0,0,0,.4285714,27
1.610754,.1288878,2.207486,2.207486,4.980475,.5602,1,0,0,0,0,.5714286,20
1.651249,.1356623,.4484778,.4484778,.2234351,.5602,1,0,0,0,0,.4285714,31
2.208872,.1722577,-1.20767,1.20767,1.400574,.5139,1,0,0,0,0,.1428571,30
1.417841,.1208338,.5916284,.5916284,.3792587,.5139,1,0,0,0,0,.1428571,48
1.633654,.136288,.24815,.24815,.0741807,.5139,1,0,0,0,0,.1428571,22
