,Date,StringencyIndex_WeightedAverage,C6E_Stay at home requirements,PopulationVaccinated
850,20220430,79.17,3.0,87.64
851,20220501,79.17,3.0,87.64
852,20220502,79.17,3.0,87.64
853,20220503,79.17,3.0,87.64
854,20220504,79.17,3.0,87.64
855,20220505,79.17,3.0,87.74
856,20220506,79.17,3.0,87.74
857,20220507,79.17,3.0,87.74
858,20220508,79.17,3.0,87.74
859,20220509,79.17,3.0,87.74
860,20220510,79.17,3.0,87.74
861,20220511,79.17,3.0,87.74
862,20220512,79.17,3.0,87.85
863,20220513,79.17,3.0,87.85
864,20220514,79.17,3.0,87.85
865,20220515,79.17,3.0,87.85
866,20220516,79.17,3.0,87.85
867,20220517,79.17,3.0,87.85
868,20220518,79.17,3.0,87.85
869,20220519,79.17,3.0,87.85
870,20220520,79.17,3.0,87.85
871,20220521,79.17,3.0,87.85
872,20220522,79.17,3.0,88.01
873,20220523,79.17,3.0,88.01
874,20220524,79.17,3.0,88.01
875,20220525,79.17,3.0,88.01
876,20220526,79.17,3.0,88.07
877,20220527,79.17,3.0,88.07
878,20220528,79.17,3.0,88.07
879,20220529,79.17,3.0,88.07
880,20220530,79.17,3.0,88.07
881,20220531,79.17,3.0,88.07
882,20220601,79.17,3.0,88.15
883,20220602,79.17,3.0,88.15
884,20220603,79.17,3.0,88.15
885,20220604,79.17,3.0,88.17
886,20220605,79.17,3.0,88.17
887,20220606,79.17,3.0,88.17
888,20220607,79.17,3.0,88.17
889,20220608,79.17,3.0,88.17
890,20220609,79.17,3.0,88.17
891,20220610,79.17,3.0,88.17
892,20220611,79.17,3.0,88.17
893,20220612,79.17,3.0,88.17
894,20220613,79.17,3.0,88.17
895,20220614,79.17,3.0,88.17
896,20220615,79.17,3.0,88.17
897,20220616,79.17,3.0,88.31
898,20220617,79.17,3.0,88.31
899,20220618,79.17,3.0,88.31
900,20220619,79.17,3.0,88.31
901,20220620,79.17,3.0,88.31
902,20220621,79.17,3.0,88.31
903,20220622,79.17,3.0,88.31
904,20220623,79.17,3.0,88.37
905,20220624,79.17,3.0,88.37
906,20220625,79.17,3.0,88.37
907,20220626,79.17,3.0,88.37
908,20220627,79.17,3.0,88.4
909,20220628,79.17,3.0,88.4
910,20220629,79.17,3.0,88.4
911,20220630,79.17,3.0,88.4
912,20220701,73.61,3.0,88.4
913,20220702,73.61,3.0,88.4
914,20220703,73.61,3.0,88.4
915,20220704,73.61,3.0,88.4
916,20220705,73.61,3.0,88.4
917,20220706,73.61,3.0,88.4
918,20220707,73.61,3.0,88.5
919,20220708,73.61,3.0,88.5
920,20220709,73.61,3.0,88.5
921,20220710,73.61,3.0,88.5
922,20220711,73.61,3.0,88.5
923,20220712,73.61,3.0,88.5
924,20220713,73.61,3.0,88.5
925,20220714,73.61,3.0,88.5
926,20220715,73.61,3.0,88.5
927,20220716,73.61,3.0,88.5
928,20220717,73.61,3.0,88.5
929,20220718,73.61,3.0,88.5
930,20220719,73.61,3.0,88.5
931,20220720,73.61,3.0,88.67
932,20220721,73.61,3.0,88.67
933,20220722,73.61,3.0,88.71
934,20220723,73.61,3.0,88.71
935,20220724,73.61,3.0,88.71
936,20220725,73.61,3.0,88.71
937,20220726,73.61,3.0,88.71
938,20220727,73.61,3.0,88.71
939,20220728,73.61,3.0,88.71
940,20220729,73.61,3.0,88.71
941,20220730,73.61,3.0,88.71
942,20220731,73.61,3.0,88.71
943,20220801,73.61,3.0,88.71
944,20220802,73.61,3.0,88.71
945,20220803,73.61,3.0,88.71
946,20220804,73.61,3.0,88.71
947,20220805,73.61,3.0,88.71
948,20220806,73.61,3.0,88.71
949,20220807,73.61,3.0,88.71
950,20220808,73.61,3.0,88.71
951,20220809,73.61,3.0,88.95
952,20220810,73.61,3.0,88.95
953,20220811,73.61,3.0,88.95
954,20220812,73.61,3.0,88.95
955,20220813,73.61,3.0,88.95
956,20220814,73.61,3.0,88.95
957,20220815,73.61,3.0,88.95
958,20220816,73.61,3.0,88.95
959,20220817,73.61,3.0,88.95
960,20220818,73.61,3.0,88.95
961,20220819,73.61,3.0,88.95
962,20220820,73.61,3.0,88.95
963,20220821,73.61,3.0,88.95
964,20220822,73.61,3.0,88.95
965,20220823,79.17,3.0,88.95
966,20220824,79.17,3.0,88.95
967,20220825,79.17,3.0,88.95
968,20220826,79.17,3.0,88.95
969,20220827,79.17,3.0,88.95
970,20220828,79.17,3.0,88.95
971,20220829,79.17,3.0,88.95
972,20220830,79.17,3.0,88.95
973,20220831,79.17,3.0,88.95
974,20220901,75.46,3.0,88.95
975,20220902,75.46,3.0,88.95
976,20220903,75.46,3.0,88.95
977,20220904,75.46,3.0,88.95
978,20220905,75.46,3.0,88.95
979,20220906,75.46,3.0,88.95
980,20220907,75.46,3.0,89.11
981,20220908,75.46,3.0,89.11
982,20220909,75.46,3.0,89.11
983,20220910,69.91,3.0,89.11
984,20220911,69.91,3.0,89.11
985,20220912,69.91,3.0,89.11
986,20220913,69.91,3.0,89.11
987,20220914,69.91,3.0,89.11
988,20220915,69.91,3.0,89.11
989,20220916,69.91,3.0,89.11
990,20220917,69.91,3.0,89.11
991,20220918,69.91,3.0,89.11
