code,name,weight,exchange
603156 CH Equity,Hebei Yangyuan Zhihui Beverage Co Ltd,0.088823,Shanghai
600655 CH Equity,Shanghai Yuyuan Tourist Mart Group Co Ltd,0.088342,Shanghai
002607 CH Equity,Offcn Education Technology Co Ltd,0.087984,Shenzhen
600027 CH Equity,Huadian Power International Corp Ltd,0.086735,Shanghai
600663 CH Equity,Shanghai Lujiazui Finance & Trade Zone Development Co Ltd,0.086238,Shanghai
000723 CH Equity,Shanxi Meijin Energy Co Ltd,0.084116,Shenzhen
002938 CH Equity,Avary Holding Shenzhen Co Ltd,0.082806,Shenzhen
601808 CH Equity,China Oilfield Services Ltd,0.082458,Shanghai
600977 CH Equity,China Film Co Ltd,0.082444,Shanghai
002558 CH Equity,Giant Network Group Co Ltd,0.079556,Shenzhen
000709 CH Equity,Hesteel Co Ltd,0.079485,Shenzhen
300433 CH Equity,Lens Technology Co Ltd,0.078727,Shenzhen
601238 CH Equity,Guangzhou Automobile Group Co Ltd,0.078694,Shanghai
601633 CH Equity,Great Wall Motor Co Ltd,0.077387,Shanghai
600297 CH Equity,China Grand Automotive Services Group Co Ltd,0.07718,Shanghai
601216 CH Equity,Inner Mongolia Junzheng Energy & Chemical Industry Group Co Ltd,0.076627,Shanghai
600398 CH Equity,HLA Group Corp Ltd,0.073866,Shanghai
600848 CH Equity,Shanghai Lingang Holdings Corp Ltd,0.071047,Shanghai
600816 CH Equity,Anxin Trust Co Ltd,0.070453,Shanghai
002773 CH Equity,Chengdu Kanghong Pharmaceutical Group Co Ltd,0.070439,Shenzhen
002411 CH Equity,YanAn Bicon Pharmaceutical Listed Co,0.069486,Shenzhen
601360 CH Equity,360 Security Technology Inc,0.069207,Shanghai
600188 CH Equity,Yankuang Energy Group Co Ltd,0.068017,Shanghai
601577 CH Equity,Bank of Changsha Co Ltd,0.067529,Shanghai
601898 CH Equity,China Coal Energy Co Ltd,0.066648,Shanghai
002010 CH Equity,Transfar Zhilian Co Ltd,0.065975,Shenzhen
002294 CH Equity,Shenzhen Salubris Pharmaceuticals Co Ltd,0.060515,Shenzhen
600733 CH Equity,BAIC BluePark New Energy Technology Co Ltd,0.059196,Shanghai
601319 CH Equity,People's Insurance Co Group of China Ltd/The,0.058628,Shanghai
000898 CH Equity,Angang Steel Co Ltd,0.058271,Shenzhen
600998 CH Equity,Jointown Pharmaceutical Group Co Ltd,0.057814,Shanghai
600566 CH Equity,Hubei Jumpcan Pharmaceutical Co Ltd,0.05717,Shanghai
600989 CH Equity,Ningxia Baofeng Energy Group Co Ltd,0.055644,Shanghai
600025 CH Equity,Huaneng Lancang River Hydropower Inc,0.055097,Shanghai
600372 CH Equity,China Avionics Systems Co Ltd,0.054521,Shanghai
600233 CH Equity,YTO Express Group Co Ltd,0.052165,Shanghai
000415 CH Equity,Bohai Leasing Co Ltd,0.051139,Shenzhen
601236 CH Equity,Hongta Securities Co Ltd,0.048616,Shanghai
002841 CH Equity,Guangzhou Shiyuan Electronic Technology Co Ltd,0.044832,Shenzhen
002468 CH Equity,STO Express Co Ltd,0.043304,Shenzhen
600968 CH Equity,CNOOC Energy Technology & Services Ltd,0.043206,Shanghai
601212 CH Equity,Baiyin Nonferrous Group Co Ltd,0.03953,Shanghai
002939 CH Equity,China Great Wall Securities Co Ltd,0.034319,Shenzhen
601828 CH Equity,Red Star Macalline Group Corp Ltd,0.03309,Shanghai
601698 CH Equity,China Satellite Communications Co Ltd,0.032843,Shanghai
603260 CH Equity,Hoshine Silicon Industry Co Ltd,0.030076,Shanghai
600390 CH Equity,Minmetals Capital Co Ltd,0.029644,Shanghai
002945 CH Equity,Chinalin Securities Co Ltd,0.029259,Shenzhen
002958 CH Equity,Qingdao Rural Commercial Bank Corp,0.028679,Shenzhen
601162 CH Equity,Tianfeng Securities Co Ltd,0.027653,Shanghai
600928 CH Equity,Bank of Xi'an Co Ltd,0.027553,Shanghai
601298 CH Equity,Qingdao Port International Co Ltd,0.024182,Shanghai
600299 CH Equity,Bluestar Adisseo Co,0.023666,Shanghai
